951	300	591	16	180
689	638	825	969	859
587	961	615	913	300
791	406	138	192	826
218	620	858	593	163
598	656	436	279	568
366	774	183	48	785
355	723	162	987	34
905	468	894	133	162
173	878	783	542	230
673	933	676	475	869
516	605	93	682	34
715	512	380	16	583
645	238	333	536	440
744	585	293	187	749
350	257	550	242	907
948	752	926	944	289
485	695	860	59	599
191	308	186	333	261
193	722	7	312	422
710	84	786	373	394
415	544	696	481	285
510	970	235	92	294
122	700	612	242	16
78	890	769	371	794
301	452	335	314	860
822	4	41	647	785
344	281	416	348	597
725	923	979	167	533
789	934	512	340	225
913	155	603	144	760
615	857	201	860	407
619	553	723	995	296
438	33	438	525	555
182	188	452	584	291
306	274	742	325	294
357	499	251	899	690
362	134	640	589	659
252	627	688	920	949
335	608	879	690	999
154	984	190	771	791
412	619	781	903	257
816	33	244	704	501
224	461	60	612	624
700	399	87	202	479
197	858	242	716	100
473	957	717	122	388
83	962	222	103	178
704	60	684	309	781
147	87	703	639	98
184	320	806	732	410
690	680	941	23	664
850	359	299	164	857
760	412	768	436	304
920	537	484	74	313
129	986	395	360	152
486	37	927	372	17
650	698	727	868	927
817	673	384	68	459
370	669	9	767	411
24	359	263	123	459
64	521	817	132	411
476	657	73	699	763
868	487	247	233	967
469	270	23	547	594
870	609	2	573	925
219	180	484	884	339
355	83	387	354	822
983	527	894	906	27
752	797	975	314	853
113	270	238	377	782
956	896	101	741	418
591	572	785	710	688
249	550	120	314	702
88	405	141	781	976
472	136	641	942	802
970	208	938	821	712
938	436	180	728	779
24	89	729	204	561
70	475	845	186	884
883	911	824	2	807
886	507	766	561	980
727	241	991	753	700
635	252	701	545	590
922	729	812	869	953
750	470	993	477	23
921	351	581	509	742
757	898	128	272	99
56	50	253	108	486
825	823	108	550	880
414	617	434	600	14
651	994	184	617	520
948	850	959	123	6
61	92	675	727	585
575	398	236	848	158
173	678	915	252	656
10	883	307	498	254
273	367	179	239	885
376	336	345	20	277
118	86	3	639	69
1000	173	445	757	241
12	725	915	875	261
579	523	398	466	175
770	166	601	586	619
834	487	156	251	915
375	527	927	575	267
221	212	924	661	153
937	930	767	686	129
875	590	175	493	875
523	317	726	33	273
822	689	767	993	99
657	698	165	620	959
914	969	829	41	848
502	462	335	685	618
246	385	106	257	285
413	805	345	515	520
654	884	117	176	953
480	417	532	172	699
28	342	848	950	799
940	565	57	837	688
421	694	788	897	192
365	348	393	800	922
551	854	944	947	592
815	358	320	32	102
571	352	396	191	652
468	362	577	348	768
793	142	924	462	385
918	581	509	763	276
121	316	418	244	605
668	534	127	305	940
534	427	316	265	498
654	214	692	540	998
662	216	137	361	466
613	423	933	847	588
478	876	418	566	538
805	62	545	874	52
175	536	983	35	849
552	382	23	384	338
276	624	365	187	101
426	205	268	466	220
617	16	914	915	854
892	594	217	311	399
495	697	651	273	537
522	804	139	293	294
927	444	598	75	559
991	340	754	522	461
679	734	869	530	209
840	461	581	677	148
81	402	467	635	55
153	332	704	169	372
281	239	675	400	918
845	249	912	959	852
545	567	795	52	905
312	709	253	509	991
423	560	241	190	396
754	689	364	961	658
936	955	183	208	635
824	601	758	443	220
638	90	905	745	532
71	761	10	198	597
220	895	131	756	538
662	747	635	349	776
243	886	794	362	799
638	302	870	168	480
804	850	225	733	157
547	100	227	272	583
969	602	2	527	162
38	637	861	127	201
990	250	708	101	229
713	149	446	203	31
914	858	805	587	692
579	306	474	229	419
937	948	256	988	541
774	134	447	293	41
325	726	56	852	869
612	217	193	421	577
386	634	958	857	341
931	427	375	220	385
327	35	627	867	968
443	538	229	703	348
958	195	439	934	12
607	770	732	70	447
640	382	642	292	81
828	71	918	172	328
534	973	903	126	300
667	142	726	633	701
652	536	292	307	791
595	830	266	584	510
590	967	647	648	591
79	190	85	794	172
678	430	521	214	925
921	616	406	248	708
848	345	948	994	511
693	390	6	370	686
142	429	258	781	727
704	961	480	837	61
308	837	721	481	864
981	846	59	610	193
749	699	521	669	780
253	7	582	464	642
